name,nickname,url,dob,weight,reach,height,stance
Ben Earwood,--,http://ufcstats.com/fighter-details/ee457ef1e1c326c1,--,170 lbs.,--,"5' 8""",Orthodox
James Gabert,--,http://ufcstats.com/fighter-details/fcd8b623892b9a10,--,178 lbs.,--,--,
Oliver Enkamp,--,http://ufcstats.com/fighter-details/330bafba312face4,"Aug 10, 1991",170 lbs.,"77""","6' 0""",Switch
Tom Aaron,--,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,"Jul 13, 1978",155 lbs.,--,--,
Ryan Hayes,--,http://ufcstats.com/fighter-details/a620638435de0628,--,--,--,--,
Lucas Alexander,The Lion,http://ufcstats.com/fighter-details/11583163f45c7b31,"Jul 28, 1995",145 lbs.,"73""","5' 11""",Orthodox
Yan Cabral,--,http://ufcstats.com/fighter-details/7cdd3e5d3aa9cb39,"May 13, 1983",155 lbs.,"73""","5' 11""",Orthodox
Peter Danesoe,The Asian Viking,http://ufcstats.com/fighter-details/5f119b24c0f9679c,"Sep 01, 2000",125 lbs.,"68""","5' 9""",Orthodox
Mikhail Iloukhine,--,http://ufcstats.com/fighter-details/b71667c778b6d9e5,"Nov 21, 1966",205 lbs.,--,"5' 9""",Orthodox
Mike Campbell,The Beast,http://ufcstats.com/fighter-details/f5585e675af7afd4,--,155 lbs.,--,"5' 9""",Southpaw
Humberto DeLeon,--,http://ufcstats.com/fighter-details/bfaf4c87936b4fae,"Nov 12, 1989",135 lbs.,--,--,
Mark De La Rosa,Bumblebee,http://ufcstats.com/fighter-details/f57dd0bfa8c17813,"Aug 31, 1994",135 lbs.,"65""","5' 6""",Orthodox
Rolando Delgado,Roli,http://ufcstats.com/fighter-details/37b1696e6d115957,"Nov 22, 1981",155 lbs.,"77""","6' 3""",Orthodox
Booker DeRousse,--,http://ufcstats.com/fighter-details/f2c91b67f71bbeab,"Mar 23, 1981",205 lbs.,--,"6' 2""",
Tony DeSouza,--,http://ufcstats.com/fighter-details/6ad9058b7c7898b0,"Jul 26, 1974",170 lbs.,"70""","6' 0""",Southpaw
Tyson Nam,--,http://ufcstats.com/fighter-details/6e00cfffd54653c4,"Oct 06, 1983",125 lbs.,"68""","5' 7""",Orthodox
Yoshihiro Nakao,Kiss,http://ufcstats.com/fighter-details/e18012194473e8b0,"Jun 25, 1972",220 lbs.,--,"6' 0""",Southpaw
Achmed Labasanov,--,http://ufcstats.com/fighter-details/b3fb8d2293e17a59,"Apr 24, 1978",215 lbs.,--,"6' 3""",Orthodox
Yui Chul Nam,The Korean Bulldozer,http://ufcstats.com/fighter-details/a00ec21cfbba17b6,"Jul 16, 1981",145 lbs.,--,"5' 9""",Orthodox
Jose Quinonez,Teco,http://ufcstats.com/fighter-details/36549928f90f1d36,"Jul 28, 1990",135 lbs.,"69""","5' 8""",Southpaw
Cristian Quinonez,Problema,http://ufcstats.com/fighter-details/7debc13b36343605,"Apr 26, 1996",135 lbs.,"70""","5' 8""",Orthodox
Sean Lally,The Unpredictable One,http://ufcstats.com/fighter-details/e62ce041bb7aeb1f,"Nov 04, 1990",170 lbs.,--,"6' 0""",Orthodox
Todd Lally,--,http://ufcstats.com/fighter-details/7d06092326c52528,--,145 lbs.,--,"5' 7""",Orthodox
Ricardo Lamas,The Bully,http://ufcstats.com/fighter-details/3974fa35c917af1d,"May 21, 1982",145 lbs.,"71""","5' 8""",Orthodox
Dong Hyun Ma,Maestro,http://ufcstats.com/fighter-details/98a6b2361045898f,"Sep 09, 1988",155 lbs.,"70""","5' 11""",Orthodox
Brock Larson,--,http://ufcstats.com/fighter-details/5eedbf1e9601be35,"Aug 23, 1977",170 lbs.,"71""","5' 11""",Southpaw
Ryan Madigan,--,http://ufcstats.com/fighter-details/a8d521d913df4e31,--,170 lbs.,--,"6' 0""",Orthodox
Don Madge,Magic Man,http://ufcstats.com/fighter-details/68c7ad953455c73f,"Nov 12, 1990",155 lbs.,"72""","6' 0""",Southpaw
Reza Madadi,Mad Dog,http://ufcstats.com/fighter-details/e25bcbcdaf6537a1,"Jun 20, 1978",155 lbs.,"73""","5' 11""",Orthodox
Raquel Pa'aluhi,Rocky,http://ufcstats.com/fighter-details/373be586f370d400,--,135 lbs.,--,"5' 7""",
Luis Pajuelo,Corazon de Leon,http://ufcstats.com/fighter-details/e530df53922f413e,"Dec 18, 1994",145 lbs.,"69""","5' 10""",Orthodox
Ruslan Magomedov,Leopard,http://ufcstats.com/fighter-details/369e1ce458ef50a6,"Nov 26, 1986",242 lbs.,"78""","6' 3""",Orthodox
Rashid Magomedov,Highlander,http://ufcstats.com/fighter-details/7ea1f74cef32f906,"Nov 29, 1984",155 lbs.,"70""","5' 9""",Orthodox
Ricky Palacios,El Gallero,http://ufcstats.com/fighter-details/797ddccda75f169f,"Jul 05, 1987",145 lbs.,--,"5' 6""",Orthodox
Jose Palacios,--,http://ufcstats.com/fighter-details/de20ffb3fc2e7629,--,145 lbs.,--,"5' 9""",Orthodox
Won Sik Park,Parky,http://ufcstats.com/fighter-details/9df394db5ca103eb,--,154 lbs.,--,"5' 11""",Orthodox
Karo Parisyan,The Heat,http://ufcstats.com/fighter-details/349aaa3da11eb587,"Aug 28, 1982",170 lbs.,"72""","5' 10""",Orthodox
Billy Pasulatan,--,http://ufcstats.com/fighter-details/e5a59983f4603621,"Aug 07, 1991",125 lbs.,"66""","5' 5""",Switch
Luciano Pereira,El Torito,http://ufcstats.com/fighter-details/d7ee49bf3c779fa6,"Jan 09, 2001",125 lbs.,--,--,Orthodox
Ramona Pascual,--,http://ufcstats.com/fighter-details/3eb4dc9a7d4ac906,"Sep 23, 1988",135 lbs.,"66""","5' 7""",Southpaw
Jonathan Pearce,JSP,http://ufcstats.com/fighter-details/87c0b1c696ddfb43,"May 01, 1992",145 lbs.,"71""","6' 0""",Switch
Daniel Pereira,Gaucho,http://ufcstats.com/fighter-details/44f46b0592ca0814,"Dec 13, 1990",185 lbs.,--,"5' 10""",
Ivana Petrovic,--,http://ufcstats.com/fighter-details/38c5817ade8a8014,"Jun 11, 1994",125 lbs.,"70""","5' 8""",Southpaw
Thiago Perpetuo,Bodao,http://ufcstats.com/fighter-details/c1a5d3843596df92,"Dec 14, 1987",170 lbs.,--,"5' 10""",Orthodox
Chris Price,The Exorcist,http://ufcstats.com/fighter-details/0597a4528ebd1307,"Nov 09, 1982",185 lbs.,--,"6' 2""",Southpaw
Rolando Perez,--,http://ufcstats.com/fighter-details/4a9e305633f3ef47,--,135 lbs.,--,"5' 8""",Orthodox
Shane Primm,--,http://ufcstats.com/fighter-details/5114f1b5ad4cdf72,"Jul 30, 1984",205 lbs.,--,"6' 3""",Orthodox
Dorian Price,--,http://ufcstats.com/fighter-details/ee4b670e159f4a33,"Aug 20, 1977",170 lbs.,--,"6' 3""",Southpaw
Niko Price,The Hybrid,http://ufcstats.com/fighter-details/d8da10db80131bec,"Sep 29, 1989",170 lbs.,"76""","6' 0""",Orthodox
Kyle Prepolec,--,http://ufcstats.com/fighter-details/873626e5547b5235,"Aug 30, 1989",170 lbs.,"70""","5' 10""",Southpaw
Fiona Muxlow,--,http://ufcstats.com/fighter-details/062e57ca1a3c95a8,"May 13, 1977",145 lbs.,--,"5' 4""",
Ho Bae Myeon,--,http://ufcstats.com/fighter-details/2719f300b0439039,--,168 lbs.,--,"5' 11""",Orthodox
Magomed Mustafaev,The Sniper,http://ufcstats.com/fighter-details/31d7446b184e3305,"Aug 02, 1988",155 lbs.,"71""","5' 8""",Orthodox
Max Mustaki,--,http://ufcstats.com/fighter-details/f4c40f8a64d3151d,"Nov 07, 1987",155 lbs.,--,"6' 0""",Orthodox
Mike Pyle,Quicksand,http://ufcstats.com/fighter-details/f5990c11974d8e9c,"Sep 18, 1975",170 lbs.,"74""","6' 0""",Orthodox
Elvis Mutapcic,The King,http://ufcstats.com/fighter-details/28c55b4087a6f136,"Jul 19, 1986",185 lbs.,"72""","6' 0""",Orthodox
Lee Murray,Lightning,http://ufcstats.com/fighter-details/32016899d0a222a3,"Sep 12, 1977",185 lbs.,--,"6' 3""",Orthodox
Nicholas Musoke,Nico,http://ufcstats.com/fighter-details/8b5f9ea38184ded3,"Apr 05, 1986",170 lbs.,"75""","6' 0""",Orthodox
