fighter,opponent,method,round,time,time_format,referee,event_date,event_location,event_url,f_rd1_KD,f_rd1_Sig_str,f_rd1_Total_str,f_rd1_Sub_att,f_rd1_Rev,f_rd1_Ctrl,o_rd1_KD,o_rd1_Sig_str,o_rd1_Total_str,o_rd1_Sub_att,o_rd1_Rev,o_rd1_Ctrl,f_rd1_Head,f_rd1_Body,f_rd1_Leg,f_rd1_Distance,f_rd1_Clinch,f_rd1_Ground,o_rd1_Head,o_rd1_Body,o_rd1_Leg,o_rd1_Distance,o_rd1_Clinch,o_rd1_Ground
Charles Johnson,Jimmy Flick,KO/TKO,1,4:33,3 Rnd (5-5-5),Kerry Hatley,"January 14, 2023","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/2e2cdb6e9eb84bb9,0,34 of 57,44 of 77,0,1,1:39,0,7 of 13,7 of 13,0,0,0:24,20 of 39,10 of 14,4 of 4,22 of 38,0 of 0,12 of 19,3 of 6,3 of 4,1 of 3,7 of 13,0 of 0,0 of 0
Tatsuro Taira,Jesus Aguilar,Submission,1,4:20,3 Rnd (5-5-5),Chris Tognoni,"February 04, 2023","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/d26394fc0e8e880a,0,1 of 1,5 of 5,2,0,3:49,0,2 of 2,2 of 2,1,0,0:23,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0,1 of 1,1 of 1,2 of 2,0 of 0,0 of 0
Saimon Oliveira,Daniel Marcos,KO/TKO,2,2:18,3 Rnd (5-5-5),Fernando Portella,"January 21, 2023","Rio de Janeiro, Rio de Janeiro, Brazil",http://ufcstats.com/event-details/5717efc6f271cd52,0,13 of 40,15 of 43,0,0,2:05,0,27 of 40,31 of 44,0,0,0:42,4 of 27,3 of 5,6 of 8,10 of 35,3 of 5,0 of 0,16 of 28,10 of 11,1 of 1,17 of 30,10 of 10,0 of 0
JunYong Park,Denis Tiuliulin,Submission,1,4:05,3 Rnd (5-5-5),Mark Smith,"February 04, 2023","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/d26394fc0e8e880a,0,25 of 38,38 of 52,1,0,2:58,0,8 of 22,8 of 22,0,0,0:00,20 of 33,1 of 1,4 of 4,15 of 27,0 of 0,10 of 11,4 of 16,4 of 6,0 of 0,8 of 22,0 of 0,0 of 0
Josiane Nunes,Zarah Fairn,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,"January 21, 2023","Rio de Janeiro, Rio de Janeiro, Brazil",http://ufcstats.com/event-details/5717efc6f271cd52,0,41 of 87,44 of 90,0,0,0:27,0,48 of 90,49 of 91,0,0,0:03,22 of 59,16 of 23,3 of 5,34 of 77,7 of 10,0 of 0,31 of 73,9 of 9,8 of 8,43 of 83,5 of 7,0 of 0
Victor Altamirano,Vinicius Salvador,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,"March 25, 2023","San Antonio, Texas, USA",http://ufcstats.com/event-details/aec273fcb765330d,0,16 of 29,39 of 54,0,0,2:28,0,11 of 33,27 of 49,0,0,0:00,2 of 13,5 of 6,9 of 10,13 of 25,2 of 3,1 of 1,4 of 25,4 of 4,3 of 4,11 of 32,0 of 1,0 of 0
Carlston Harris,Jared Gooden,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,"March 11, 2023","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/35080a7f406f9ab3,0,43 of 84,44 of 85,0,0,0:13,0,44 of 71,53 of 80,0,0,0:02,34 of 75,8 of 8,1 of 1,33 of 70,10 of 14,0 of 0,20 of 42,17 of 22,7 of 7,39 of 66,5 of 5,0 of 0
Jaqueline Amorim,Sam Hughes,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Andrew Glenn,"April 08, 2023","Miami, Florida, USA",http://ufcstats.com/event-details/3dc3022232b79c7a,0,7 of 25,11 of 34,3,0,3:24,0,11 of 25,13 of 27,0,1,0:02,7 of 17,0 of 5,0 of 3,6 of 22,0 of 0,1 of 3,11 of 25,0 of 0,0 of 0,5 of 18,6 of 7,0 of 0
Ignacio Bahamondes,Trey Ogden,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Andrew Glenn,"April 08, 2023","Miami, Florida, USA",http://ufcstats.com/event-details/3dc3022232b79c7a,0,26 of 51,26 of 51,0,0,0:00,0,9 of 22,9 of 22,0,0,0:00,7 of 19,4 of 15,15 of 17,26 of 51,0 of 0,0 of 0,3 of 12,1 of 2,5 of 8,9 of 22,0 of 0,0 of 0
Shayilan Nuerdanbieke,Steve Garcia,KO/TKO,2,0:36,3 Rnd (5-5-5),Larry Folsom,"April 08, 2023","Miami, Florida, USA",http://ufcstats.com/event-details/3dc3022232b79c7a,1,16 of 32,29 of 60,0,0,3:33,0,6 of 23,39 of 60,0,0,0:07,13 of 29,3 of 3,0 of 0,6 of 13,0 of 0,10 of 19,5 of 22,1 of 1,0 of 0,6 of 23,0 of 0,0 of 0
Joselyne Edwards,Lucie Pudilova,Decision - Split,3,5:00,3 Rnd (5-5-5),Dwayne Bess,"April 15, 2023","Kansas City, Missouri, USA",http://ufcstats.com/event-details/15b1b21cd743d652,0,17 of 36,31 of 55,0,1,0:11,0,8 of 27,17 of 40,0,0,3:11,10 of 25,2 of 4,5 of 7,10 of 25,2 of 4,5 of 7,5 of 22,3 of 3,0 of 2,4 of 17,2 of 2,2 of 8
Phil Hawes,Ikram Aliskerov,KO/TKO,1,2:10,3 Rnd (5-5-5),Gasper Oliver,"May 06, 2023","Newark, New Jersey, USA",http://ufcstats.com/event-details/3c6976f8182d9527,0,17 of 28,17 of 28,0,0,0:00,1,20 of 33,20 of 33,0,0,0:00,4 of 14,10 of 11,3 of 3,17 of 28,0 of 0,0 of 0,13 of 24,6 of 8,1 of 1,19 of 31,1 of 2,0 of 0
Keith Hackney,Emmanuel Yarborough,KO/TKO,1,1:59,No Time Limit,John McCarthy,"September 09, 1994","Charlotte, North Carolina, USA",http://ufcstats.com/event-details/1a49e0670dfaca31,1,34 of 50,36 of 52,0,0,--,0,1 of 5,4 of 9,0,0,--,29 of 45,0 of 0,5 of 5,6 of 8,2 of 3,26 of 39,1 of 5,0 of 0,0 of 0,0 of 2,0 of 0,1 of 3
Joseph Holmes,Claudio Ribeiro,KO/TKO,2,3:21,3 Rnd (5-5-5),Gary Copeland,"May 06, 2023","Newark, New Jersey, USA",http://ufcstats.com/event-details/3c6976f8182d9527,0,12 of 16,15 of 19,0,0,1:36,0,19 of 29,39 of 52,0,0,2:11,3 of 6,3 of 4,6 of 6,8 of 12,4 of 4,0 of 0,18 of 26,0 of 1,1 of 2,5 of 12,0 of 0,14 of 17
Ken Shamrock,Christophe Leninger,KO/TKO,1,4:49,No Time Limit,John McCarthy,"September 09, 1994","Charlotte, North Carolina, USA",http://ufcstats.com/event-details/1a49e0670dfaca31,0,8 of 9,16 of 20,0,0,--,0,1 of 2,21 of 23,0,0,--,5 of 6,3 of 3,0 of 0,0 of 1,0 of 0,8 of 8,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0
Sergei Pavlovich,Curtis Blaydes,KO/TKO,1,3:08,5 Rnd (5-5-5-5-5),Marc Goddard,"April 22, 2023","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/6fb1ba67bef41b37,1,36 of 85,36 of 85,0,0,0:00,0,14 of 56,14 of 56,0,0,0:00,30 of 78,6 of 7,0 of 0,32 of 81,0 of 0,4 of 4,11 of 51,1 of 1,2 of 4,14 of 56,0 of 0,0 of 0
Dave Beneteau,Asbel Cancio,KO/TKO,1,0:21,1 Rnd (20),Lonnie Foster,"April 07, 1995","Charlotte, North Carolina, USA",http://ufcstats.com/event-details/dedc3bb440d09554,0,12 of 18,12 of 18,0,0,--,0,0 of 0,0 of 0,0,0,--,12 of 18,0 of 0,0 of 0,0 of 0,0 of 0,12 of 18,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
Guy Mezger,John Dowdy,KO/TKO,1,2:02,1 Rnd (20),John McCarthy,"April 07, 1995","Charlotte, North Carolina, USA",http://ufcstats.com/event-details/dedc3bb440d09554,1,12 of 17,15 of 20,0,0,--,0,0 of 4,2 of 7,0,0,--,10 of 15,1 of 1,1 of 1,2 of 5,2 of 2,8 of 10,0 of 0,0 of 2,0 of 2,0 of 4,0 of 0,0 of 0
Jon Hess,Andy Anderson,KO/TKO,1,1:23,1 Rnd (20),John McCarthy,"April 07, 1995","Charlotte, North Carolina, USA",http://ufcstats.com/event-details/dedc3bb440d09554,0,17 of 28,30 of 41,0,0,--,0,2 of 2,6 of 6,0,1,--,7 of 17,10 of 11,0 of 0,6 of 14,6 of 9,5 of 5,2 of 2,0 of 0,0 of 0,0 of 0,0 of 0,2 of 2
Oleg Taktarov,Ernie Verdicia,Submission,1,2:23,1 Rnd (20),John McCarthy,"April 07, 1995","Charlotte, North Carolina, USA",http://ufcstats.com/event-details/dedc3bb440d09554,0,0 of 0,0 of 0,1,1,--,0,2 of 5,7 of 11,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,2 of 5,0 of 0,0 of 0,0 of 2,0 of 0,2 of 3
Todd Medina,Larry Cureton,Submission,1,2:55,1 Rnd (20),John McCarthy,"April 07, 1995","Charlotte, North Carolina, USA",http://ufcstats.com/event-details/dedc3bb440d09554,0,4 of 4,64 of 66,1,0,--,0,1 of 2,15 of 16,0,0,--,3 of 3,1 of 1,0 of 0,0 of 0,0 of 0,4 of 4,0 of 1,1 of 1,0 of 0,0 of 1,1 of 1,0 of 0
Dave Beneteau,Todd Medina,KO/TKO,1,2:12,1 Rnd (20),John McCarthy,"April 07, 1995","Charlotte, North Carolina, USA",http://ufcstats.com/event-details/dedc3bb440d09554,0,8 of 13,22 of 28,0,0,--,0,0 of 0,0 of 0,0,0,--,8 of 13,0 of 0,0 of 0,0 of 0,0 of 0,8 of 13,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
Dan Severn,Oleg Taktarov,TKO - Doctor's Stoppage,1,4:21,1 Rnd (20),John McCarthy,"April 07, 1995","Charlotte, North Carolina, USA",http://ufcstats.com/event-details/dedc3bb440d09554,0,9 of 17,38 of 64,0,0,--,0,0 of 0,0 of 0,0,0,--,9 of 17,0 of 0,0 of 0,0 of 0,0 of 0,9 of 17,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
Dan Severn,Dave Beneteau,Submission,1,3:01,1 Rnd (30),John McCarthy,"April 07, 1995","Charlotte, North Carolina, USA",http://ufcstats.com/event-details/dedc3bb440d09554,0,2 of 3,11 of 13,1,0,--,0,2 of 6,5 of 10,0,0,--,1 of 1,0 of 1,1 of 1,0 of 0,1 of 2,1 of 1,2 of 6,0 of 0,0 of 0,0 of 1,2 of 5,0 of 0
Ken Shamrock,Royce Gracie,Other,2,5:00,1 Rnd + OT (31-5),John McCarthy,"April 07, 1995","Charlotte, North Carolina, USA",http://ufcstats.com/event-details/dedc3bb440d09554,0,9 of 19,67 of 84,0,0,--,0,3 of 8,344 of 351,0,0,--,4 of 14,0 of 0,5 of 5,0 of 1,0 of 0,9 of 18,2 of 3,0 of 1,1 of 4,1 of 5,0 of 0,2 of 3
Dan Severn,Joe Charles,Submission,1,1:38,1 Rnd (20),John McCarthy,"April 07, 1995","Charlotte, North Carolina, USA",http://ufcstats.com/event-details/dedc3bb440d09554,0,2 of 4,12 of 19,1,0,--,0,1 of 1,1 of 2,0,0,--,2 of 4,0 of 0,0 of 0,0 of 0,0 of 0,2 of 4,0 of 0,1 of 1,0 of 0,1 of 1,0 of 0,0 of 0
Scott Bessac,David Hood,Submission,1,0:31,1 Rnd (20),Taimak Guarriello,"September 08, 1995","Buffalo, New York, USA",http://ufcstats.com/event-details/5af480a3b2e1726b,0,1 of 5,1 of 5,2,0,--,0,2 of 3,2 of 3,0,0,--,0 of 4,1 of 1,0 of 0,0 of 4,1 of 1,0 of 0,0 of 0,0 of 0,2 of 3,1 of 2,1 of 1,0 of 0
Marco Ruas,Larry Cureton,Submission,1,3:23,1 Rnd (20),John McCarthy,"September 08, 1995","Buffalo, New York, USA",http://ufcstats.com/event-details/5af480a3b2e1726b,0,1 of 1,2 of 2,3,0,--,0,6 of 7,11 of 14,1,1,--,1 of 1,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0,2 of 3,4 of 4,0 of 0,0 of 0,0 of 0,6 of 7
Paul Varelans,Gerry Harris,KO/TKO,1,1:05,1 Rnd (20),John McCarthy,"September 08, 1995","Buffalo, New York, USA",http://ufcstats.com/event-details/5af480a3b2e1726b,0,4 of 4,35 of 38,0,0,--,0,0 of 2,0 of 2,0,0,--,4 of 4,0 of 0,0 of 0,0 of 0,0 of 0,4 of 4,0 of 1,0 of 0,0 of 1,0 of 1,0 of 1,0 of 0
Remco Pardoel,Ryan Parker,Submission,1,3:05,1 Rnd (20),John McCarthy,"September 08, 1995","Buffalo, New York, USA",http://ufcstats.com/event-details/5af480a3b2e1726b,0,0 of 0,16 of 16,1,0,--,0,0 of 0,20 of 21,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
Marco Ruas,Remco Pardoel,Submission,1,12:27,1 Rnd (20),John McCarthy,"September 08, 1995","Buffalo, New York, USA",http://ufcstats.com/event-details/5af480a3b2e1726b,0,4 of 7,11 of 18,2,1,--,0,2 of 4,4 of 7,2,0,--,1 of 2,2 of 2,1 of 3,1 of 3,0 of 0,3 of 4,0 of 1,0 of 0,2 of 3,0 of 2,2 of 2,0 of 0
Paul Varelans,Mark Hall,Submission,1,1:01,1 Rnd (20),John McCarthy,"September 08, 1995","Buffalo, New York, USA",http://ufcstats.com/event-details/5af480a3b2e1726b,0,2 of 3,4 of 6,2,0,--,0,2 of 3,4 of 5,0,0,--,2 of 3,0 of 0,0 of 0,0 of 1,0 of 0,2 of 2,1 of 1,0 of 1,1 of 1,2 of 2,0 of 1,0 of 0
Ken Shamrock,Oleg Taktarov,Other,2,3:00,1 Rnd + OT (30-3),John McCarthy,"September 08, 1995","Buffalo, New York, USA",http://ufcstats.com/event-details/5af480a3b2e1726b,0,22 of 40,167 of 198,0,0,--,0,2 of 14,107 of 119,0,0,--,21 of 39,0 of 0,1 of 1,6 of 18,0 of 0,16 of 22,2 of 10,0 of 1,0 of 3,1 of 12,1 of 2,0 of 0
Mark Hall,Harold Howard,KO/TKO,1,1:41,1 Rnd (20),John McCarthy,"September 08, 1995","Buffalo, New York, USA",http://ufcstats.com/event-details/5af480a3b2e1726b,0,1 of 4,13 of 23,0,1,--,0,4 of 5,5 of 8,0,0,--,1 of 4,0 of 0,0 of 0,0 of 1,0 of 0,1 of 3,1 of 1,3 of 4,0 of 0,2 of 2,2 of 3,0 of 0
Marco Ruas,Paul Varelans,KO/TKO,1,13:17,1 Rnd + OT (30-5),John McCarthy,"September 08, 1995","Buffalo, New York, USA",http://ufcstats.com/event-details/5af480a3b2e1726b,1,33 of 59,54 of 84,0,0,--,0,10 of 30,36 of 63,1,0,--,9 of 25,0 of 0,24 of 34,27 of 49,2 of 3,4 of 7,3 of 19,2 of 2,5 of 9,7 of 27,3 of 3,0 of 0
Harold Howard,Roland Payne,KO/TKO,1,0:46,No Time Limit,John McCarthy,"September 09, 1994","Charlotte, North Carolina, USA",http://ufcstats.com/event-details/1a49e0670dfaca31,1,9 of 12,12 of 15,0,0,--,0,3 of 4,3 of 4,0,0,--,9 of 12,0 of 0,0 of 0,1 of 4,4 of 4,4 of 4,0 of 0,2 of 2,1 of 2,2 of 2,1 of 2,0 of 0
Royce Gracie,Kimo Leopoldo,Submission,1,4:40,No Time Limit,John McCarthy,"September 09, 1994","Charlotte, North Carolina, USA",http://ufcstats.com/event-details/1a49e0670dfaca31,0,2 of 6,17 of 21,1,1,--,0,6 of 9,6 of 10,0,1,--,1 of 1,0 of 2,1 of 3,0 of 0,2 of 6,0 of 0,3 of 6,2 of 2,1 of 1,0 of 1,3 of 3,3 of 5
Ken Shamrock,Felix Lee Mitchell,Submission,1,4:34,No Time Limit,John McCarthy,"September 09, 1994","Charlotte, North Carolina, USA",http://ufcstats.com/event-details/1a49e0670dfaca31,0,4 of 4,7 of 7,1,0,--,0,3 of 3,21 of 22,0,0,--,1 of 1,2 of 2,1 of 1,0 of 0,3 of 3,1 of 1,0 of 0,1 of 1,2 of 2,0 of 0,3 of 3,0 of 0
Oleg Taktarov,Dave Beneteau,Submission,1,0:57,1 Rnd (20),John McCarthy,"July 14, 1995","Casper, Wyoming, USA",http://ufcstats.com/event-details/1c3f5e85b59ec710,0,0 of 2,5 of 7,1,0,--,0,5 of 14,5 of 14,0,0,--,0 of 2,0 of 0,0 of 0,0 of 0,0 of 2,0 of 0,5 of 14,0 of 0,0 of 0,0 of 0,4 of 11,1 of 3
Paul Varelans,Cal Worsham,KO/TKO,1,1:02,1 Rnd (20),John McCarthy,"July 14, 1995","Casper, Wyoming, USA",http://ufcstats.com/event-details/1c3f5e85b59ec710,1,8 of 22,12 of 27,0,0,--,0,9 of 33,11 of 35,0,0,--,7 of 19,1 of 2,0 of 1,3 of 12,5 of 10,0 of 0,9 of 30,0 of 3,0 of 0,5 of 13,4 of 20,0 of 0
Steve Jennum,Harold Howard,KO/TKO,1,1:27,No Time Limit,John McCarthy,"September 09, 1994","Charlotte, North Carolina, USA",http://ufcstats.com/event-details/1a49e0670dfaca31,0,6 of 11,7 of 13,0,0,--,0,2 of 6,3 of 7,1,0,--,6 of 11,0 of 0,0 of 0,1 of 2,0 of 0,5 of 9,2 of 6,0 of 0,0 of 0,1 of 4,1 of 1,0 of 1
Oleg Taktarov,Anthony Macias,Submission,1,0:09,1 Rnd (20),John McCarthy,"July 14, 1995","Casper, Wyoming, USA",http://ufcstats.com/event-details/1c3f5e85b59ec710,0,0 of 0,0 of 0,1,1,--,0,0 of 0,0 of 0,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
