name,nickname,url,dob,weight,reach,height,stance
Alptekin Ozkilic,The Turkish Delight,http://ufcstats.com/fighter-details/e18a19001a3f7c7d,"Mar 27, 1986",125 lbs.,"65""","5' 5""",Orthodox
Shungo Oyama,,http://ufcstats.com/fighter-details/47b7e4e60813b7b2,"Apr 11, 1974",185 lbs.,--,"5' 11""",Southpaw
Jessica Eye,Evil,http://ufcstats.com/fighter-details/f72465a784c1b084,"Jul 27, 1986",125 lbs.,"66""","5' 6""",Orthodox
Neal Ewing,,http://ufcstats.com/fighter-details/0798f558681d0eb5,"Sep 30, 1985",185 lbs.,--,--,
Movsar Evloev,,http://ufcstats.com/fighter-details/76e2870ffafbe38f,"Feb 11, 1994",145 lbs.,"72""","5' 7""",Orthodox
Andre Ewell,Mr. Highlight,http://ufcstats.com/fighter-details/5f6f049d54728e88,"Jan 21, 1988",145 lbs.,"75""","5' 8""",Southpaw
Tonya Evinger,Triple Threat,http://ufcstats.com/fighter-details/b12a1d19ee383b7c,"Jun 04, 1981",135 lbs.,"70""","5' 7""",Orthodox
Horacio Gutierrez,The Punisher,http://ufcstats.com/fighter-details/cd85b48dc880fabd,"Sep 15, 1990",145 lbs.,--,"5' 10""",
Chris Gutierrez,El Guapo,http://ufcstats.com/fighter-details/45f0cc9d18f35137,"Apr 22, 1991",135 lbs.,"67""","5' 9""",Orthodox
Justin Guthrie,,http://ufcstats.com/fighter-details/a789defa9086da46,"Jan 19, 1981",170 lbs.,--,"6' 1""",
Alexander Gustafsson,The Mauler,http://ufcstats.com/fighter-details/3c6976f8182d9527,"Jan 15, 1987",205 lbs.,"79""","6' 5""",Orthodox
Andre Gusmao,,http://ufcstats.com/fighter-details/cc300e9aa3063431,"May 19, 1977",205 lbs.,--,"6' 0""",Orthodox
Gugun Gusman,The Tiger,http://ufcstats.com/fighter-details/e34e3b1fffa13a6a,"Mar 03, 1990",135 lbs.,"68""","5' 7""",Orthodox
Bogdan Guskov,,http://ufcstats.com/fighter-details/ef5dcb10d2bd4b0f,"Sep 12, 1992",205 lbs.,--,--,
Fabio Gurgel,,http://ufcstats.com/fighter-details/8377c5572cb356f3,--,205 lbs.,--,"6' 0""",Orthodox
Jorge Gurgel,,http://ufcstats.com/fighter-details/04d5718ed2661e8c,"Jan 25, 1977",155 lbs.,"69""","5' 7""",Orthodox
John Gunther,The Machine,http://ufcstats.com/fighter-details/3956bdc8ab2e54b3,"Nov 24, 1985",155 lbs.,"72""","5' 9""",Orthodox
Brad Gumm,,http://ufcstats.com/fighter-details/4d74641fac830182,--,170 lbs.,--,"5' 11""",Orthodox
Marcelo Guimaraes,Magrao,http://ufcstats.com/fighter-details/0c9c0a43d3f3f49d,"Jun 25, 1983",185 lbs.,"73""","6' 0""",Orthodox
Leonardo Guimaraes,Leleco,http://ufcstats.com/fighter-details/cc98d857b148e33a,"Apr 15, 1982",185 lbs.,--,"6' 0""",Orthodox
Charles Byrd,Kid Dynamite,http://ufcstats.com/fighter-details/76ee3d666c648f6b,"Oct 11, 1983",185 lbs.,"73""","5' 10""",Orthodox
Raphael Butler,The Silencer,http://ufcstats.com/fighter-details/f941505e35fb1eae,"Jan 04, 1984",261 lbs.,--,"6' 3""",
JP Buys,Young Savage,http://ufcstats.com/fighter-details/0b362247806341e5,"Apr 30, 1996",135 lbs.,"67""","5' 5""",Orthodox
Ian Butler,,http://ufcstats.com/fighter-details/6b8fd98eb52363d1,--,155 lbs.,--,"5' 8""",
Jason Butcher,,http://ufcstats.com/fighter-details/30e39145fec48d25,"Oct 23, 1984",185 lbs.,--,"6' 3""",
Eduardo Bustillos,,http://ufcstats.com/fighter-details/f273f1b8df04c8a1,"Jun 02, 1987",135 lbs.,--,"5' 8""",
